Frame,Keypoint ID,Keypoint Score,Keypoint Visibility,Keypoint Likelihood,Keypoint Part,Bounding Box,Pose Confidence,X,Y
195,[0.3830491  0.5152526  0.55438447],0.30073687,[0.30430415 0.50334007 0.5096314 ],[0.30877134 0.45499203 0.5911429 ],[0.38622636 0.44349727 0.6691766 ],"[[0.47889623 0.5191154  0.36247355]
 [0.48060924 0.44050932 0.41467974]
 [0.58267176 0.5265142  0.37973595]
 [0.582906   0.45223242 0.2212289 ]]",[0.5622139  0.50340647 0.529278  ],0.31200814,0.29949453
196,[0.38119027 0.515107   0.528293  ],0.3006887,[0.30335337 0.50435156 0.5530689 ],[0.30867982 0.45578665 0.6056969 ],[0.3866029  0.44445035 0.6267406 ],"[[0.47924364 0.5183289  0.34931168]
 [0.48059088 0.4417937  0.30205053]
 [0.58453995 0.52681893 0.34296525]
 [0.58620405 0.45182395 0.2217031 ]]",[0.56437284 0.50617886 0.56532955],0.31223276,0.29942587
197,[0.38143367 0.51593995 0.55280435],0.30125916,[0.30387    0.5042048  0.58172023],[0.30981952 0.45710438 0.61684185],[0.38862798 0.44507238 0.5684516 ],"[[0.47857162 0.51956725 0.33147043]
 [0.4820534  0.4436426  0.32290807]
 [0.5874185  0.52397454 0.28817552]
 [0.5869834  0.4524605  0.20631215]]",[0.56493306 0.5087739  0.5775622 ],0.3127667,0.30001697
198,[0.38213977 0.51677924 0.5717185 ],0.30183318,[0.3049245 0.5042224 0.5642718],[0.3110031  0.45712686 0.59929776],[0.38443598 0.44741052 0.4178993 ],"[[0.47590393 0.52112204 0.41899168]
 [0.48186895 0.4433491  0.3306135 ]
 [0.5712975  0.5174655  0.20225553]
 [0.5847238  0.453179   0.25482544]]",[0.56433445 0.50973284 0.57146823],0.31341138,0.30068934
199,[0.382143  0.5171027 0.6174202],0.3029776,[0.30586216 0.50411975 0.5302634 ],[0.31119004 0.4583329  0.5465925 ],[0.38803244 0.44656867 0.6041405 ],"[[0.47572756 0.5222078  0.4148393 ]
 [0.4784846  0.4435857  0.31189486]
 [0.5697259  0.5174296  0.2045569 ]
 [0.5827474  0.45411578 0.25011352]]",[0.5635885 0.5097521 0.5573088],0.31653807,0.30148795
200,[0.38389173 0.518118   0.66069984],0.30038762,[0.3035711  0.50607634 0.6350081 ],[0.30899248 0.45808414 0.66068995],[0.3846288  0.44851285 0.4216534 ],"[[0.4786016  0.52008134 0.4174705 ]
 [0.48091435 0.44569612 0.3365748 ]
 [0.5734034  0.51759744 0.2107526 ]
 [0.5871473  0.4557373  0.21600327]]",[0.5681852 0.5105728 0.6393082],0.31173462,0.299432
201,[0.38669288 0.5197998  0.6732496 ],0.3015289,[0.3044512  0.50646263 0.6297807 ],[0.3097164  0.45767903 0.64548564],[0.38610634 0.4480554  0.42811918],"[[0.48038432 0.5173909  0.35912648]
 [0.4870622  0.44734082 0.37923563]
 [0.58298385 0.51555276 0.26020077]
 [0.59028554 0.4544725  0.2846725 ]]",[0.571051   0.51115465 0.6640202 ],0.31292737,0.3004854
202,[0.3864616  0.5204021  0.69255674],0.30219102,[0.30554798 0.5069765  0.6072595 ],[0.3103922  0.4583189  0.65155625],[0.385382  0.4480917 0.4200137],"[[0.47923082 0.51990086 0.34234607]
 [0.48513988 0.44644323 0.3713984 ]
 [0.582934   0.5135109  0.25512862]
 [0.5906163  0.4567513  0.275239  ]]",[0.5680298  0.51350373 0.6536168 ],0.31576505,0.30111983
203,[0.38681316 0.52074164 0.717186  ],0.3014595,[0.30466697 0.508482   0.64913464],[0.30916336 0.4587247  0.670704  ],[0.38494155 0.44874963 0.4449258 ],"[[0.4823468  0.51931137 0.36450216]
 [0.48390168 0.44576764 0.3570291 ]
 [0.5853968  0.51631707 0.25446886]
 [0.58813626 0.46354556 0.34032464]]",[0.5668979 0.5122024 0.6274877],0.3154174,0.30041805
204,[0.38644835 0.520966   0.7446134 ],0.3011758,[0.30377305 0.508286   0.6862465 ],[0.30919695 0.45931935 0.6802933 ],[0.39001948 0.44756886 0.539934  ],"[[0.48429498 0.5192032  0.39849603]
 [0.4854135  0.4451749  0.3653035 ]
 [0.5877692  0.51924914 0.32575947]
 [0.5884237  0.4565001  0.2913163 ]]",[0.5691016 0.5114044 0.6385893],0.31470242,0.29982406
205,[0.38775703 0.52153915 0.75242406],0.30084953,[0.3040358  0.5094069  0.68243766],[0.308801   0.45953962 0.6826292 ],[0.38649085 0.44881427 0.4615063 ],"[[0.48761284 0.516921   0.39216548]
 [0.4913276  0.44635347 0.39938924]
 [0.59234405 0.51904124 0.31444824]
 [0.595327   0.45845923 0.2362321 ]]",[0.5730946  0.51224625 0.6344743 ],0.31451565,0.2996984
206,[0.38836208 0.52149487 0.727811  ],0.30029514,[0.3035326 0.5098881 0.6723739],[0.30870035 0.45968315 0.686843  ],[0.38660383 0.44921705 0.44442722],"[[0.49010006 0.5141482  0.37391856]
 [0.49169776 0.44896373 0.38355443]
 [0.5949933  0.51842076 0.31228566]
 [0.5983963  0.46402535 0.3278032 ]]",[0.5749274 0.5114302 0.6002171],0.31235394,0.29902333
207,[0.3869944  0.52157587 0.7562132 ],0.3016444,[0.30400175 0.50968784 0.67404854],[0.30820453 0.4603637  0.69459885],[0.38997966 0.449562   0.45912048],"[[0.48626706 0.5199169  0.32760006]
 [0.48747686 0.44932523 0.37722814]
 [0.5855048  0.5153463  0.24085496]
 [0.5923716  0.4633199  0.33762082]]",[0.56756276 0.5149442  0.6365051 ],0.31315905,0.3004299
